epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,229.238,0.45397,0.53489,0.31346,0.83914,0,0.99819,1,0.995,0.90719,0.99819,1,0.995,0.81878,0.41291,0.53182,0.28613,0.83728,0,0.0008516,0.0008516,0.0008516
31,236.969,0.46363,0.52696,0.32574,0.84668,0,0.99839,1,0.995,0.88732,0.99839,1,0.995,0.84008,0.45031,0.50804,0.27927,0.8618,0,0.000812,0.000812,0.000812
32,245.021,0.47768,0.55154,0.32437,0.86786,0,0.99825,1,0.995,0.90175,0.99825,1,0.995,0.82749,0.4005,0.50369,0.29088,0.83594,0,0.0007724,0.0007724,0.0007724
33,253.102,0.43352,0.51056,0.30255,0.83615,0,0.99851,1,0.995,0.89775,0.99851,1,0.995,0.82306,0.427,0.51481,0.26934,0.85597,0,0.0007328,0.0007328,0.0007328
34,261.019,0.42687,0.51501,0.29467,0.86173,0,0.99876,1,0.995,0.91724,0.99876,1,0.995,0.8301,0.4024,0.50391,0.26553,0.8341,0,0.0006932,0.0006932,0.0006932
35,269.121,0.43605,0.53681,0.30175,0.84561,0,0.99886,1,0.995,0.89877,0.99886,1,0.995,0.84272,0.41318,0.49688,0.27055,0.84274,0,0.0006536,0.0006536,0.0006536
36,277.324,0.43834,0.51815,0.30358,0.8513,0,0.99891,1,0.995,0.90091,0.99891,1,0.995,0.83525,0.38552,0.51827,0.25107,0.8317,0,0.000614,0.000614,0.000614
37,285.262,0.41298,0.49181,0.29642,0.83365,0,0.99889,1,0.995,0.9047,0.99889,1,0.995,0.83706,0.38529,0.53911,0.25345,0.83151,0,0.0005744,0.0005744,0.0005744
38,293.062,0.41467,0.50694,0.29297,0.84528,0,0.99889,1,0.995,0.91224,0.99889,1,0.995,0.83917,0.41837,0.50692,0.25937,0.8425,0,0.0005348,0.0005348,0.0005348
39,300.922,0.43,0.50997,0.3004,0.83778,0,0.99886,1,0.995,0.90647,0.99886,1,0.995,0.83325,0.41883,0.53469,0.25528,0.83568,0,0.0004952,0.0004952,0.0004952
40,308.751,0.39922,0.49508,0.27979,0.83327,0,0.99887,1,0.995,0.92157,0.99887,1,0.995,0.84343,0.39761,0.52566,0.26475,0.82794,0,0.0004556,0.0004556,0.0004556
41,316.919,0.42825,0.578,0.30794,0.82297,0,0.99884,1,0.995,0.89402,0.99884,1,0.995,0.83271,0.4406,0.57285,0.28167,0.84128,0,0.000416,0.000416,0.000416
42,324.663,0.42785,0.52175,0.29468,0.84633,0,0.99876,1,0.995,0.91038,0.99876,1,0.995,0.84281,0.39783,0.56174,0.24805,0.83187,0,0.0003764,0.0003764,0.0003764
43,333.051,0.39484,0.55735,0.27825,0.83374,0,0.99882,1,0.995,0.90625,0.99882,1,0.995,0.82171,0.3913,0.51473,0.24547,0.83135,0,0.0003368,0.0003368,0.0003368
44,341.191,0.3897,0.49167,0.27927,0.81337,0,0.99879,1,0.995,0.90841,0.99879,1,0.995,0.82677,0.3851,0.52973,0.26051,0.83633,0,0.0002972,0.0002972,0.0002972
45,349.102,0.3836,0.52038,0.27001,0.83952,0,0.99888,1,0.995,0.89122,0.99888,1,0.995,0.81828,0.40857,0.51859,0.27575,0.83661,0,0.0002576,0.0002576,0.0002576
46,357.182,0.38142,0.47036,0.26643,0.83499,0,0.99888,1,0.995,0.90198,0.99888,1,0.995,0.81906,0.40083,0.52076,0.25805,0.83434,0,0.000218,0.000218,0.000218
47,365.511,0.37325,0.50239,0.25676,0.82599,0,0.99881,1,0.995,0.91406,0.99881,1,0.995,0.84685,0.40114,0.52256,0.24256,0.83935,0,0.0001784,0.0001784,0.0001784
48,373.433,0.38972,0.46444,0.2616,0.8353,0,0.9989,1,0.995,0.90785,0.9989,1,0.995,0.85316,0.39191,0.5055,0.23587,0.83401,0,0.0001388,0.0001388,0.0001388
49,381.236,0.36813,0.4869,0.25188,0.83016,0,0.99889,1,0.995,0.91277,0.99889,1,0.995,0.83238,0.3861,0.49599,0.22958,0.83091,0,9.92e-05,9.92e-05,9.92e-05
50,389.124,0.36364,0.48613,0.25435,0.84083,0,0.9989,1,0.995,0.91571,0.9989,1,0.995,0.82904,0.38194,0.50001,0.22639,0.8305,0,5.96e-05,5.96e-05,5.96e-05
